     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
        5577   4.0779e+02   0.0000e+00  -5.0000e+00   5.3446e+05   0.0000e+00   0.0000e+00   5.3446e+05
        5578   4.0779e+02   0.0000e+00  -1.0000e+01   4.6974e+05   0.0000e+00   0.0000e+00   4.6974e+05
        5579   4.0779e+02   0.0000e+00  -1.5000e+01   4.5758e+05   0.0000e+00   0.0000e+00   4.5758e+05
        5580   4.0779e+02   0.0000e+00  -2.0000e+01   4.5527e+05   0.0000e+00   0.0000e+00   4.5527e+05
        5581   4.0779e+02   0.0000e+00  -2.5000e+01   4.5660e+05   0.0000e+00   0.0000e+00   4.5660e+05
        5582   4.0779e+02   0.0000e+00  -3.0000e+01   4.5930e+05   0.0000e+00   0.0000e+00   4.5930e+05
        5583   4.0779e+02   0.0000e+00  -3.5000e+01   4.6259e+05   0.0000e+00   0.0000e+00   4.6259e+05
        5584   4.0779e+02   0.0000e+00  -4.0000e+01   4.6608e+05   0.0000e+00   0.0000e+00   4.6608e+05
        5585   4.0779e+02   0.0000e+00  -4.5000e+01   4.6959e+05   0.0000e+00   0.0000e+00   4.6959e+05
        5586   4.0779e+02   0.0000e+00  -5.0000e+01   4.7299e+05   0.0000e+00   0.0000e+00   4.7299e+05
        5587   4.0779e+02   0.0000e+00  -5.5000e+01   4.7620e+05   0.0000e+00   0.0000e+00   4.7620e+05
        5588   4.0779e+02   0.0000e+00  -6.0000e+01   4.7919e+05   0.0000e+00   0.0000e+00   4.7919e+05
        5589   4.0779e+02   0.0000e+00  -6.5000e+01   4.8193e+05   0.0000e+00   0.0000e+00   4.8193e+05
        5590   4.0779e+02   0.0000e+00  -7.0000e+01   4.8440e+05   0.0000e+00   0.0000e+00   4.8440e+05
        5591   4.0779e+02   0.0000e+00  -7.5000e+01   4.8662e+05   0.0000e+00   0.0000e+00   4.8662e+05
        5592   4.0779e+02   0.0000e+00  -8.0000e+01   4.8859e+05   0.0000e+00   0.0000e+00   4.8859e+05
        5593   4.0779e+02   0.0000e+00  -8.5000e+01   4.9031e+05   0.0000e+00   0.0000e+00   4.9031e+05
        5594   4.0779e+02   0.0000e+00  -9.0000e+01   4.9182e+05   0.0000e+00   0.0000e+00   4.9182e+05
        5595   4.0779e+02   0.0000e+00  -9.5000e+01   4.9312e+05   0.0000e+00   0.0000e+00   4.9312e+05
        5596   4.0779e+02   0.0000e+00  -1.0000e+02   4.9423e+05   0.0000e+00   0.0000e+00   4.9423e+05
        5597   4.0779e+02   0.0000e+00  -1.0500e+02   4.9517e+05   0.0000e+00   0.0000e+00   4.9517e+05
        5598   4.0779e+02   0.0000e+00  -1.1000e+02   4.9596e+05   0.0000e+00   0.0000e+00   4.9596e+05
        5599   4.0779e+02   0.0000e+00  -1.1500e+02   4.9661e+05   0.0000e+00   0.0000e+00   4.9661e+05
        5600   4.0779e+02   0.0000e+00  -1.2000e+02   4.9715e+05   0.0000e+00   0.0000e+00   4.9715e+05
        5601   4.0779e+02   0.0000e+00  -1.2500e+02   4.9759e+05   0.0000e+00   0.0000e+00   4.9759e+05
        5602   4.0779e+02   0.0000e+00  -1.3000e+02   4.9794e+05   0.0000e+00   0.0000e+00   4.9794e+05
        5603   4.0779e+02   0.0000e+00  -1.3500e+02   4.9822e+05   0.0000e+00   0.0000e+00   4.9822e+05
        5604   4.0779e+02   0.0000e+00  -1.4000e+02   4.9843e+05   0.0000e+00   0.0000e+00   4.9843e+05
        5605   4.0779e+02   0.0000e+00  -1.4500e+02   4.9859e+05   0.0000e+00   0.0000e+00   4.9859e+05
        5606   4.0779e+02   0.0000e+00  -1.5000e+02   4.9870e+05   0.0000e+00   0.0000e+00   4.9870e+05
        5607   4.0779e+02   0.0000e+00  -1.5500e+02   4.9878e+05   0.0000e+00   0.0000e+00   4.9878e+05
        5608   4.0779e+02   0.0000e+00  -1.6000e+02   4.9882e+05   0.0000e+00   0.0000e+00   4.9882e+05
        5609   4.0779e+02   0.0000e+00  -1.6500e+02   4.9885e+05   0.0000e+00   0.0000e+00   4.9885e+05
        5610   4.0779e+02   0.0000e+00  -1.7000e+02   4.9885e+05   0.0000e+00   0.0000e+00   4.9885e+05
        5611   4.0779e+02   0.0000e+00  -1.7500e+02   4.9884e+05   0.0000e+00   0.0000e+00   4.9884e+05
        5612   4.0779e+02   0.0000e+00  -1.8000e+02   4.9882e+05   0.0000e+00   0.0000e+00   4.9882e+05
        5613   4.0779e+02   0.0000e+00  -1.8500e+02   4.9879e+05   0.0000e+00   0.0000e+00   4.9879e+05
        5614   4.0779e+02   0.0000e+00  -1.9000e+02   4.9876e+05   0.0000e+00   0.0000e+00   4.9876e+05
        5615   4.0779e+02   0.0000e+00  -1.9500e+02   4.9872e+05   0.0000e+00   0.0000e+00   4.9872e+05
        5616   4.0779e+02   0.0000e+00  -2.0000e+02   4.9868e+05   0.0000e+00   0.0000e+00   4.9868e+05
        5617   4.0779e+02   0.0000e+00  -2.0500e+02   4.9864e+05   0.0000e+00   0.0000e+00   4.9864e+05
        5618   4.0779e+02   0.0000e+00  -2.1000e+02   4.9860e+05   0.0000e+00   0.0000e+00   4.9860e+05
        5619   4.0779e+02   0.0000e+00  -2.1500e+02   4.9856e+05   0.0000e+00   0.0000e+00   4.9856e+05
