     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
           1   3.8987e+02   0.0000e+00   1.3032e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           2   3.7186e+02   0.0000e+00   1.2430e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           3   3.5385e+02   0.0000e+00   1.1828e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           4   3.3585e+02   0.0000e+00   1.1226e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           5   3.1784e+02   0.0000e+00   1.0624e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           6   3.8921e+02   0.0000e+00   2.6050e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           7   3.7124e+02   0.0000e+00   2.4847e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           8   3.5326e+02   0.0000e+00   2.3644e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           9   3.3528e+02   0.0000e+00   2.2440e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          10   3.1731e+02   0.0000e+00   2.1237e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          11   3.8812e+02   0.0000e+00   3.9039e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          12   3.7020e+02   0.0000e+00   3.7236e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          13   3.5227e+02   0.0000e+00   3.5433e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          14   3.3435e+02   0.0000e+00   3.3629e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          15   3.1642e+02   0.0000e+00   3.1826e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          16   3.8660e+02   0.0000e+00   5.1985e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          17   3.6875e+02   0.0000e+00   4.9583e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          18   3.5089e+02   0.0000e+00   4.7182e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          19   3.3304e+02   0.0000e+00   4.4780e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          20   3.1518e+02   0.0000e+00   4.2379e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          21   3.8465e+02   0.0000e+00   6.4872e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          22   3.6689e+02   0.0000e+00   6.1875e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
