     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
       14009   4.0779e+02   0.0000e+00  -3.0000e+01   2.8017e+06   0.0000e+00   0.0000e+00   2.8017e+06
       14010   4.0779e+02   0.0000e+00  -6.0000e+01   2.8550e+06   0.0000e+00   0.0000e+00   2.8550e+06
       14011   4.0779e+02   0.0000e+00  -9.0000e+01   2.9423e+06   0.0000e+00   0.0000e+00   2.9423e+06
       14012   4.0779e+02   0.0000e+00  -1.2000e+02   2.9827e+06   0.0000e+00   0.0000e+00   2.9827e+06
       14013   4.0779e+02   0.0000e+00  -1.5000e+02   2.9937e+06   0.0000e+00   0.0000e+00   2.9937e+06
       14014   4.0779e+02   0.0000e+00  -1.8000e+02   2.9954e+06   0.0000e+00   0.0000e+00   2.9954e+06
       14015   4.0779e+02   0.0000e+00  -2.1000e+02   2.9925e+06   0.0000e+00   0.0000e+00   2.9925e+06
       14016   4.0779e+02   0.0000e+00  -2.4000e+02   2.9911e+06   0.0000e+00   0.0000e+00   2.9911e+06
       14017   4.0779e+02   0.0000e+00  -2.7000e+02   2.9897e+06   0.0000e+00   0.0000e+00   2.9897e+06
       14018   4.0779e+02   0.0000e+00  -3.0000e+02   2.9898e+06   0.0000e+00   0.0000e+00   2.9898e+06
       14019   4.0779e+02   0.0000e+00  -3.3000e+02   2.9896e+06   0.0000e+00   0.0000e+00   2.9896e+06
       14020   4.0779e+02   0.0000e+00  -3.6000e+02   2.9900e+06   0.0000e+00   0.0000e+00   2.9900e+06
       14021   4.0779e+02   0.0000e+00  -3.9000e+02   2.9902e+06   0.0000e+00   0.0000e+00   2.9902e+06
       14022   4.0779e+02   0.0000e+00  -4.2000e+02   2.9905e+06   0.0000e+00   0.0000e+00   2.9905e+06
       14023   4.0779e+02   0.0000e+00  -4.5000e+02   2.9906e+06   0.0000e+00   0.0000e+00   2.9906e+06
       14024   4.0779e+02   0.0000e+00  -4.8000e+02   2.9909e+06   0.0000e+00   0.0000e+00   2.9909e+06
       14025   4.0779e+02   0.0000e+00  -5.1000e+02   2.9909e+06   0.0000e+00   0.0000e+00   2.9909e+06
       14026   4.0779e+02   0.0000e+00  -5.4000e+02   2.9911e+06   0.0000e+00   0.0000e+00   2.9911e+06
