     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
           1   4.0629e+02   0.0000e+00   3.0242e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           2   4.0449e+02   0.0000e+00   3.0108e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           3   4.0268e+02   0.0000e+00   2.9974e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           4   4.0088e+02   0.0000e+00   2.9840e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           5   3.9908e+02   0.0000e+00   2.9705e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           6   3.9728e+02   0.0000e+00   2.9571e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           7   3.9548e+02   0.0000e+00   2.9437e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           8   3.9368e+02   0.0000e+00   2.9303e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           9   3.9187e+02   0.0000e+00   2.9169e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          10   3.9007e+02   0.0000e+00   2.9035e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          11   3.8827e+02   0.0000e+00   2.8901e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          12   3.8647e+02   0.0000e+00   2.8767e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          13   3.8467e+02   0.0000e+00   2.8632e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          14   3.8287e+02   0.0000e+00   2.8498e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          15   3.8106e+02   0.0000e+00   2.8364e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          16   3.7926e+02   0.0000e+00   2.8230e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          17   3.7746e+02   0.0000e+00   2.8096e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          18   3.7566e+02   0.0000e+00   2.7962e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          19   3.7386e+02   0.0000e+00   2.7828e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          20   3.7206e+02   0.0000e+00   2.7694e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          21   3.7025e+02   0.0000e+00   2.7559e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          22   3.6845e+02   0.0000e+00   2.7425e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          23   3.6665e+02   0.0000e+00   2.7291e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          24   3.6485e+02   0.0000e+00   2.7157e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          25   3.6305e+02   0.0000e+00   2.7023e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          26   3.6125e+02   0.0000e+00   2.6889e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          27   3.5944e+02   0.0000e+00   2.6755e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          28   3.5764e+02   0.0000e+00   2.6621e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          29   3.5584e+02   0.0000e+00   2.6486e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          30   3.5404e+02   0.0000e+00   2.6352e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          31   3.5224e+02   0.0000e+00   2.6218e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          32   3.5044e+02   0.0000e+00   2.6084e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          33   3.4864e+02   0.0000e+00   2.5950e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          34   3.4683e+02   0.0000e+00   2.5816e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          35   3.4503e+02   0.0000e+00   2.5682e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          36   3.4323e+02   0.0000e+00   2.5548e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          37   3.4143e+02   0.0000e+00   2.5413e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          38   3.3963e+02   0.0000e+00   2.5279e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          39   3.3783e+02   0.0000e+00   2.5145e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          40   3.3602e+02   0.0000e+00   2.5011e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          41   3.3422e+02   0.0000e+00   2.4877e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          42   3.3242e+02   0.0000e+00   2.4743e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          43   3.3062e+02   0.0000e+00   2.4609e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
