     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
        4839   4.0779e+02   0.0000e+00  -1.0000e+01   9.7873e+05   0.0000e+00   0.0000e+00   9.7873e+05
        4840   4.0779e+02   0.0000e+00  -2.0000e+01   9.1066e+05   0.0000e+00   0.0000e+00   9.1066e+05
        4841   4.0779e+02   0.0000e+00  -3.0000e+01   9.1787e+05   0.0000e+00   0.0000e+00   9.1787e+05
        4842   4.0779e+02   0.0000e+00  -4.0000e+01   9.3105e+05   0.0000e+00   0.0000e+00   9.3105e+05
        4843   4.0779e+02   0.0000e+00  -5.0000e+01   9.4514e+05   0.0000e+00   0.0000e+00   9.4514e+05
        4844   4.0779e+02   0.0000e+00  -6.0000e+01   9.5781e+05   0.0000e+00   0.0000e+00   9.5781e+05
        4845   4.0779e+02   0.0000e+00  -7.0000e+01   9.6843e+05   0.0000e+00   0.0000e+00   9.6843e+05
        4846   4.0779e+02   0.0000e+00  -8.0000e+01   9.7695e+05   0.0000e+00   0.0000e+00   9.7695e+05
        4847   4.0779e+02   0.0000e+00  -9.0000e+01   9.8352e+05   0.0000e+00   0.0000e+00   9.8352e+05
        4848   4.0779e+02   0.0000e+00  -1.0000e+02   9.8842e+05   0.0000e+00   0.0000e+00   9.8842e+05
        4849   4.0779e+02   0.0000e+00  -1.1000e+02   9.9195e+05   0.0000e+00   0.0000e+00   9.9195e+05
        4850   4.0779e+02   0.0000e+00  -1.2000e+02   9.9438e+05   0.0000e+00   0.0000e+00   9.9438e+05
        4851   4.0779e+02   0.0000e+00  -1.3000e+02   9.9598e+05   0.0000e+00   0.0000e+00   9.9598e+05
        4852   4.0779e+02   0.0000e+00  -1.4000e+02   9.9696e+05   0.0000e+00   0.0000e+00   9.9696e+05
        4853   4.0779e+02   0.0000e+00  -1.5000e+02   9.9751e+05   0.0000e+00   0.0000e+00   9.9751e+05
        4854   4.0779e+02   0.0000e+00  -1.6000e+02   9.9776e+05   0.0000e+00   0.0000e+00   9.9776e+05
        4855   4.0779e+02   0.0000e+00  -1.7000e+02   9.9780e+05   0.0000e+00   0.0000e+00   9.9780e+05
        4856   4.0779e+02   0.0000e+00  -1.8000e+02   9.9773e+05   0.0000e+00   0.0000e+00   9.9773e+05
        4857   4.0779e+02   0.0000e+00  -1.9000e+02   9.9760e+05   0.0000e+00   0.0000e+00   9.9760e+05
        4858   4.0779e+02   0.0000e+00  -2.0000e+02   9.9743e+05   0.0000e+00   0.0000e+00   9.9743e+05
        4859   4.0779e+02   0.0000e+00  -2.1000e+02   9.9726e+05   0.0000e+00   0.0000e+00   9.9726e+05
        4860   4.0779e+02   0.0000e+00  -2.2000e+02   9.9710e+05   0.0000e+00   0.0000e+00   9.9710e+05
        4861   4.0779e+02   0.0000e+00  -2.3000e+02   9.9696e+05   0.0000e+00   0.0000e+00   9.9696e+05
        4862   4.0779e+02   0.0000e+00  -2.4000e+02   9.9685e+05   0.0000e+00   0.0000e+00   9.9685e+05
        4863   4.0779e+02   0.0000e+00  -2.5000e+02   9.9675e+05   0.0000e+00   0.0000e+00   9.9675e+05
        4864   4.0779e+02   0.0000e+00  -2.6000e+02   9.9668e+05   0.0000e+00   0.0000e+00   9.9668e+05
        4865   4.0779e+02   0.0000e+00  -2.7000e+02   9.9663e+05   0.0000e+00   0.0000e+00   9.9663e+05
        4866   4.0779e+02   0.0000e+00  -2.8000e+02   9.9660e+05   0.0000e+00   0.0000e+00   9.9660e+05
        4867   4.0779e+02   0.0000e+00  -2.9000e+02   9.9658e+05   0.0000e+00   0.0000e+00   9.9658e+05
        4868   4.0779e+02   0.0000e+00  -3.0000e+02   9.9657e+05   0.0000e+00   0.0000e+00   9.9657e+05
        4869   4.0779e+02   0.0000e+00  -3.1000e+02   9.9657e+05   0.0000e+00   0.0000e+00   9.9657e+05
        4870   4.0779e+02   0.0000e+00  -3.2000e+02   9.9658e+05   0.0000e+00   0.0000e+00   9.9658e+05
        4871   4.0779e+02   0.0000e+00  -3.3000e+02   9.9660e+05   0.0000e+00   0.0000e+00   9.9660e+05
        4872   4.0779e+02   0.0000e+00  -3.4000e+02   9.9662e+05   0.0000e+00   0.0000e+00   9.9662e+05
        4873   4.0779e+02   0.0000e+00  -3.5000e+02   9.9664e+05   0.0000e+00   0.0000e+00   9.9664e+05
        4874   4.0779e+02   0.0000e+00  -3.6000e+02   9.9667e+05   0.0000e+00   0.0000e+00   9.9667e+05
        4875   4.0779e+02   0.0000e+00  -3.7000e+02   9.9669e+05   0.0000e+00   0.0000e+00   9.9669e+05
        4876   4.0779e+02   0.0000e+00  -3.8000e+02   9.9672e+05   0.0000e+00   0.0000e+00   9.9672e+05
        4877   4.0779e+02   0.0000e+00  -3.9000e+02   9.9674e+05   0.0000e+00   0.0000e+00   9.9674e+05
        4878   4.0779e+02   0.0000e+00  -4.0000e+02   9.9677e+05   0.0000e+00   0.0000e+00   9.9677e+05
        4879   4.0779e+02   0.0000e+00  -4.1000e+02   9.9679e+05   0.0000e+00   0.0000e+00   9.9679e+05
        4880   4.0779e+02   0.0000e+00  -4.2000e+02   9.9681e+05   0.0000e+00   0.0000e+00   9.9681e+05
        4881   4.0779e+02   0.0000e+00  -4.3000e+02   9.9684e+05   0.0000e+00   0.0000e+00   9.9684e+05
        4882   4.0779e+02   0.0000e+00  -4.4000e+02   9.9686e+05   0.0000e+00   0.0000e+00   9.9686e+05
        4883   4.0779e+02   0.0000e+00  -4.5000e+02   9.9688e+05   0.0000e+00   0.0000e+00   9.9688e+05
        4884   4.0779e+02   0.0000e+00  -4.6000e+02   9.9690e+05   0.0000e+00   0.0000e+00   9.9690e+05
        4885   4.0779e+02   0.0000e+00  -4.7000e+02   9.9691e+05   0.0000e+00   0.0000e+00   9.9691e+05
        4886   4.0779e+02   0.0000e+00  -4.8000e+02   9.9693e+05   0.0000e+00   0.0000e+00   9.9693e+05
        4887   4.0779e+02   0.0000e+00  -4.9000e+02   9.9695e+05   0.0000e+00   0.0000e+00   9.9695e+05
        4888   4.0779e+02   0.0000e+00  -5.0000e+02   9.9696e+05   0.0000e+00   0.0000e+00   9.9696e+05
        4889   4.0779e+02   0.0000e+00  -5.1000e+02   9.9698e+05   0.0000e+00   0.0000e+00   9.9698e+05
        4890   4.0779e+02   0.0000e+00  -5.2000e+02   9.9699e+05   0.0000e+00   0.0000e+00   9.9699e+05
        4891   4.0779e+02   0.0000e+00  -5.3000e+02   9.9700e+05   0.0000e+00   0.0000e+00   9.9700e+05
        4892   4.0779e+02   0.0000e+00  -5.4000e+02   9.9701e+05   0.0000e+00   0.0000e+00   9.9701e+05
        4893   4.0779e+02   0.0000e+00  -5.5000e+02   9.9702e+05   0.0000e+00   0.0000e+00   9.9702e+05
        4894   4.0779e+02   0.0000e+00  -5.6000e+02   9.9703e+05   0.0000e+00   0.0000e+00   9.9703e+05
        4895   4.0779e+02   0.0000e+00  -5.7000e+02   9.9703e+05   0.0000e+00   0.0000e+00   9.9703e+05
        4896   4.0779e+02   0.0000e+00  -5.8000e+02   9.9703e+05   0.0000e+00   0.0000e+00   9.9703e+05
        4897   4.0779e+02   0.0000e+00  -5.9000e+02   9.9703e+05   0.0000e+00   0.0000e+00   9.9703e+05
        4898   4.0779e+02   0.0000e+00  -6.0000e+02   9.9703e+05   0.0000e+00   0.0000e+00   9.9703e+05
        4899   4.0779e+02   0.0000e+00  -6.1000e+02   9.9702e+05   0.0000e+00   0.0000e+00   9.9702e+05
        4900   4.0779e+02   0.0000e+00  -6.2000e+02   9.9701e+05   0.0000e+00   0.0000e+00   9.9701e+05
        4901   4.0779e+02   0.0000e+00  -6.3000e+02   9.9700e+05   0.0000e+00   0.0000e+00   9.9700e+05
        4902   4.0779e+02   0.0000e+00  -6.4000e+02   9.9698e+05   0.0000e+00   0.0000e+00   9.9698e+05
        4903   4.0779e+02   0.0000e+00  -6.5000e+02   9.9695e+05   0.0000e+00   0.0000e+00   9.9695e+05
        4904   4.0779e+02   0.0000e+00  -6.6000e+02   9.9692e+05   0.0000e+00   0.0000e+00   9.9692e+05
        4905   4.0779e+02   0.0000e+00  -6.7000e+02   9.9689e+05   0.0000e+00   0.0000e+00   9.9689e+05
        4906   4.0779e+02   0.0000e+00  -6.8000e+02   9.9685e+05   0.0000e+00   0.0000e+00   9.9685e+05
        4907   4.0779e+02   0.0000e+00  -6.9000e+02   9.9680e+05   0.0000e+00   0.0000e+00   9.9680e+05
        4908   4.0779e+02   0.0000e+00  -7.0000e+02   9.9675e+05   0.0000e+00   0.0000e+00   9.9675e+05
        4909   4.0779e+02   0.0000e+00  -7.1000e+02   9.9669e+05   0.0000e+00   0.0000e+00   9.9669e+05
        4910   4.0779e+02   0.0000e+00  -7.2000e+02   9.9663e+05   0.0000e+00   0.0000e+00   9.9663e+05
        4911   4.0779e+02   0.0000e+00  -7.3000e+02   9.9655e+05   0.0000e+00   0.0000e+00   9.9655e+05
        4912   4.0779e+02   0.0000e+00  -7.4000e+02   9.9648e+05   0.0000e+00   0.0000e+00   9.9648e+05
        4913   4.0779e+02   0.0000e+00  -7.5000e+02   9.9640e+05   0.0000e+00   0.0000e+00   9.9640e+05
        4914   4.0779e+02   0.0000e+00  -7.6000e+02   9.9631e+05   0.0000e+00   0.0000e+00   9.9631e+05
        4915   4.0779e+02   0.0000e+00  -7.7000e+02   9.9623e+05   0.0000e+00   0.0000e+00   9.9623e+05
        4916   4.0779e+02   0.0000e+00  -7.8000e+02   9.9614e+05   0.0000e+00   0.0000e+00   9.9614e+05
        4917   4.0779e+02   0.0000e+00  -7.9000e+02   9.9605e+05   0.0000e+00   0.0000e+00   9.9605e+05
        4918   4.0779e+02   0.0000e+00  -8.0000e+02   9.9597e+05   0.0000e+00   0.0000e+00   9.9597e+05
        4919   4.0779e+02   0.0000e+00  -8.1000e+02   9.9589e+05   0.0000e+00   0.0000e+00   9.9589e+05
        4920   4.0779e+02   0.0000e+00  -8.2000e+02   9.9582e+05   0.0000e+00   0.0000e+00   9.9582e+05
        4921   4.0779e+02   0.0000e+00  -8.3000e+02   9.9576e+05   0.0000e+00   0.0000e+00   9.9576e+05
        4922   4.0779e+02   0.0000e+00  -8.4000e+02   9.9570e+05   0.0000e+00   0.0000e+00   9.9570e+05
        4923   4.0779e+02   0.0000e+00  -8.5000e+02   9.9564e+05   0.0000e+00   0.0000e+00   9.9564e+05
        4924   4.0779e+02   0.0000e+00  -8.6000e+02   9.9559e+05   0.0000e+00   0.0000e+00   9.9559e+05
        4925   4.0779e+02   0.0000e+00  -8.7000e+02   9.9552e+05   0.0000e+00   0.0000e+00   9.9552e+05
        4926   4.0779e+02   0.0000e+00  -8.8000e+02   9.9542e+05   0.0000e+00   0.0000e+00   9.9542e+05
        4927   4.0779e+02   0.0000e+00  -8.9000e+02   9.9528e+05   0.0000e+00   0.0000e+00   9.9528e+05
        4928   4.0779e+02   0.0000e+00  -9.0000e+02   9.9504e+05   0.0000e+00   0.0000e+00   9.9504e+05
        4929   4.0779e+02   0.0000e+00  -9.1000e+02   9.9465e+05   0.0000e+00   0.0000e+00   9.9465e+05
        4930   4.0779e+02   0.0000e+00  -9.2000e+02   9.9406e+05   0.0000e+00   0.0000e+00   9.9406e+05
        4931   4.0779e+02   0.0000e+00  -9.3000e+02   9.9317e+05   0.0000e+00   0.0000e+00   9.9317e+05
        4932   4.0779e+02   0.0000e+00  -9.4000e+02   9.9185e+05   0.0000e+00   0.0000e+00   9.9185e+05
