     Elem ID      Node ID      R Coord      T Coord      Z Coord           RR           TT           ZZ           RT           TZ           ZR    Von-Mises
          54           55   3.0721e+02   0.0000e+00  -5.0000e+02  -9.0885e+01   1.6208e+02   1.1889e+02   0.0000e+00   0.0000e+00  -1.4764e-02   2.3437e+02
          54          159   3.1441e+02   0.0000e+00  -5.0000e+02  -9.0885e+01   1.5383e+02   1.1639e+02   0.0000e+00   0.0000e+00  -1.4925e-02   2.2831e+02
          55           55   0.0000e+00   0.0000e+00   0.0000e+00  -9.0881e+01   1.6208e+02   1.1890e+02   0.0000e+00   0.0000e+00  -6.6035e-04   2.3437e+02
          55          159   3.1441e+02   0.0000e+00  -5.0000e+02  -9.0881e+01   1.5383e+02   1.1640e+02   0.0000e+00   0.0000e+00  -4.9811e-04   2.2831e+02
         157          159   0.0000e+00   0.0000e+00   0.0000e+00  -8.5323e+01   1.5621e+02   1.1877e+02   0.0000e+00   0.0000e+00  -2.3737e-02   2.2516e+02
         157          263   3.2162e+02   0.0000e+00  -5.0000e+02  -8.5323e+01   1.4851e+02   1.1645e+02   0.0000e+00   0.0000e+00  -2.3817e-02   2.1957e+02
         158          159   0.0000e+00   0.0000e+00   0.0000e+00  -8.5320e+01   1.5622e+02   1.1878e+02   0.0000e+00   0.0000e+00  -1.9673e-03   2.2516e+02
         158          263   3.2162e+02   0.0000e+00  -5.0000e+02  -8.5320e+01   1.4852e+02   1.1646e+02   0.0000e+00   0.0000e+00  -1.8817e-03   2.1957e+02
         260          263   0.0000e+00   0.0000e+00   0.0000e+00  -8.0132e+01   1.5074e+02   1.1867e+02   0.0000e+00   0.0000e+00  -3.1451e-02   2.1663e+02
         260          367   3.2883e+02   0.0000e+00  -5.0000e+02  -8.0132e+01   1.4354e+02   1.1651e+02   0.0000e+00   0.0000e+00  -3.1470e-02   2.1146e+02
         261          263   0.0000e+00   0.0000e+00   0.0000e+00  -8.0129e+01   1.5074e+02   1.1868e+02   0.0000e+00   0.0000e+00  -3.5527e-03   2.1663e+02
         261          367   3.2883e+02   0.0000e+00  -5.0000e+02  -8.0129e+01   1.4355e+02   1.1652e+02   0.0000e+00   0.0000e+00  -3.5262e-03   2.1146e+02
         363          367   0.0000e+00   0.0000e+00   0.0000e+00  -7.5280e+01   1.4563e+02   1.1859e+02   0.0000e+00   0.0000e+00  -3.7608e-02   2.0871e+02
         363          471   3.3603e+02   0.0000e+00  -5.0000e+02  -7.5280e+01   1.3889e+02   1.1658e+02   0.0000e+00   0.0000e+00  -3.7581e-02   2.0393e+02
         364          367   0.0000e+00   0.0000e+00   0.0000e+00  -7.5278e+01   1.4563e+02   1.1860e+02   0.0000e+00   0.0000e+00  -5.0795e-03   2.0871e+02
         364          471   3.3603e+02   0.0000e+00  -5.0000e+02  -7.5278e+01   1.3889e+02   1.1658e+02   0.0000e+00   0.0000e+00  -5.0964e-03   2.0393e+02
         466          471   0.0000e+00   0.0000e+00   0.0000e+00  -7.0737e+01   1.4084e+02   1.1852e+02   0.0000e+00   0.0000e+00  -4.1993e-02   2.0135e+02
         466          575   3.4324e+02   0.0000e+00  -5.0000e+02  -7.0737e+01   1.3452e+02   1.1664e+02   0.0000e+00   0.0000e+00  -4.1936e-02   1.9693e+02
         467          471   0.0000e+00   0.0000e+00   0.0000e+00  -7.0736e+01   1.4084e+02   1.1853e+02   0.0000e+00   0.0000e+00  -6.2980e-03   2.0135e+02
         467          575   3.4324e+02   0.0000e+00  -5.0000e+02  -7.0736e+01   1.3453e+02   1.1664e+02   0.0000e+00   0.0000e+00  -6.3435e-03   1.9693e+02
         569          575   0.0000e+00   0.0000e+00   0.0000e+00  -6.6478e+01   1.3635e+02   1.1846e+02   0.0000e+00   0.0000e+00  -4.4476e-02   1.9450e+02
         569          679   3.5045e+02   0.0000e+00  -5.0000e+02  -6.6478e+01   1.3042e+02   1.1670e+02   0.0000e+00   0.0000e+00  -4.4404e-02   1.9041e+02
         570          575   0.0000e+00   0.0000e+00   0.0000e+00  -6.6477e+01   1.3635e+02   1.1847e+02   0.0000e+00   0.0000e+00  -7.0404e-03   1.9450e+02
         570          679   3.5045e+02   0.0000e+00  -5.0000e+02  -6.6477e+01   1.3042e+02   1.1670e+02   0.0000e+00   0.0000e+00  -7.1012e-03   1.9041e+02
         672          679   0.0000e+00   0.0000e+00   0.0000e+00  -6.2477e+01   1.3214e+02   1.1841e+02   0.0000e+00   0.0000e+00  -4.5004e-02   1.8813e+02
         672          783   3.5765e+02   0.0000e+00  -5.0000e+02  -6.2477e+01   1.2656e+02   1.1675e+02   0.0000e+00   0.0000e+00  -4.4929e-02   1.8433e+02
