     Elem ID      Node ID      R Coord      T Coord      Z Coord           RR           TT           ZZ           RT           TZ           ZR    Von-Mises
         171          199   4.6070e+02   0.0000e+00   1.6102e+02  -4.6703e+00   1.7045e+02  -6.9312e-01   0.0000e+00   0.0000e+00   1.1577e-03   1.7316e+02
         171          200   4.5236e+02   0.0000e+00   1.6102e+02  -4.6703e+00   1.7508e+02   6.9639e-01   0.0000e+00   0.0000e+00   1.1580e-03   1.7713e+02
         172          200   1.1390e+03   1.8000e+02  -1.3870e+26  -8.0031e+00   1.7365e+02  -7.3220e-01   0.0000e+00   0.0000e+00   1.7759e-03   1.7813e+02
         172          201   4.4402e+02   0.0000e+00   1.6102e+02  -8.0031e+00   1.7854e+02   7.3621e-01   0.0000e+00   0.0000e+00   1.7758e-03   1.8233e+02
         173          201   1.3968e+26   1.8000e+02  -1.1390e+03  -1.1527e+01   1.7703e+02  -7.7443e-01   0.0000e+00   0.0000e+00   2.2561e-03   1.8342e+02
         173          202   4.3568e+02   0.0000e+00   1.6102e+02  -1.1527e+01   1.8221e+02   7.7902e-01   0.0000e+00   0.0000e+00   2.2556e-03   1.8789e+02
         174          202   1.1390e+03   1.8000e+02  -1.3870e+26  -1.5258e+01   1.8061e+02  -8.2007e-01   0.0000e+00   0.0000e+00   2.5901e-03   1.8906e+02
         174          203   4.2734e+02   0.0000e+00   1.6102e+02  -1.5258e+01   1.8610e+02   8.2517e-01   0.0000e+00   0.0000e+00   2.5894e-03   1.9381e+02
         175          203   1.3969e+26   1.8000e+02  -1.1390e+03  -1.9211e+01   1.8440e+02  -8.6943e-01   0.0000e+00   0.0000e+00   2.7712e-03   1.9509e+02
         175          204   4.1900e+02   0.0000e+00   1.6102e+02  -1.9211e+01   1.9022e+02   8.7501e-01   0.0000e+00   0.0000e+00   2.7703e-03   2.0014e+02
         176          204   5.6900e+02   1.8000e+02  -1.3870e+26  -2.3405e+01   1.8842e+02  -9.2286e-01   0.0000e+00   0.0000e+00   2.7940e-03   2.0152e+02
         176          205   4.1065e+02   0.0000e+00   1.6102e+02  -2.3405e+01   1.9459e+02   9.2896e-01   0.0000e+00   0.0000e+00   2.7931e-03   2.0690e+02
         177          205   4.2039e-45   9.0000e+01   0.0000e+00  -2.7860e+01   1.9268e+02  -9.8075e-01   0.0000e+00   0.0000e+00   2.6547e-03   2.0840e+02
         177          206   4.0231e+02   0.0000e+00   1.6102e+02  -2.7860e+01   1.9924e+02   9.8749e-01   0.0000e+00   0.0000e+00   2.6539e-03   2.1414e+02
         178          206   4.2039e-45   0.0000e+00   0.0000e+00  -3.2598e+01   1.9721e+02  -1.0435e+00   0.0000e+00   0.0000e+00   2.3510e-03   2.1577e+02
         178          207   3.9397e+02   0.0000e+00   1.6102e+02  -3.2598e+01   2.0419e+02   1.0511e+00   0.0000e+00   0.0000e+00   2.3504e-03   2.2189e+02
         179          207   2.8026e-45   6.3435e+01   1.4013e-45  -3.7644e+01   2.0203e+02  -1.1118e+00   0.0000e+00   0.0000e+00   1.8818e-03   2.2366e+02
         179          208   3.8563e+02   0.0000e+00   1.6102e+02  -3.7644e+01   2.0947e+02   1.1204e+00   0.0000e+00   0.0000e+00   1.8816e-03   2.3019e+02
         180          208   2.8026e-45   6.3435e+01   1.4013e-45  -4.3024e+01   2.0716e+02  -1.1860e+00   0.0000e+00   0.0000e+00   1.2481e-03   2.3211e+02
         180          209   3.7729e+02   0.0000e+00   1.6102e+02  -4.3024e+01   2.1510e+02   1.1960e+00   0.0000e+00   0.0000e+00   1.2484e-03   2.3910e+02
         181          199   4.2039e-45   9.0000e+01   0.0000e+00  -4.6700e+00   1.7045e+02  -6.9233e-01   0.0000e+00   0.0000e+00   1.2716e-03   1.7316e+02
         181          200   4.5236e+02   0.0000e+00   1.6102e+02  -4.6700e+00   1.7508e+02   6.9702e-01   0.0000e+00   0.0000e+00   1.2718e-03   1.7713e+02
         182          200   4.2039e-45   9.0000e+01   0.0000e+00  -8.0029e+00   1.7365e+02  -7.3157e-01   0.0000e+00   0.0000e+00   1.9490e-03   1.7813e+02
         182          201   4.4402e+02   0.0000e+00   1.6102e+02  -8.0029e+00   1.7854e+02   7.3668e-01   0.0000e+00   0.0000e+00   1.9496e-03   1.8233e+02
         183          201   4.2039e-45   9.0000e+01   1.4013e-45  -1.1527e+01   1.7703e+02  -7.7396e-01   0.0000e+00   0.0000e+00   2.4745e-03   1.8342e+02
         183          202   4.3568e+02   0.0000e+00   1.6102e+02  -1.1527e+01   1.8221e+02   7.7933e-01   0.0000e+00   0.0000e+00   2.4756e-03   1.8789e+02
         184          202   1.4648e+26   1.8000e+02   2.5496e-37  -1.5258e+01   1.8061e+02  -8.1976e-01   0.0000e+00   0.0000e+00   2.8397e-03   1.8906e+02
         184          203   4.2734e+02   0.0000e+00   1.6102e+02  -1.5258e+01   1.8610e+02   8.2530e-01   0.0000e+00   0.0000e+00   2.8411e-03   1.9381e+02
         185          203   2.2112e+02   3.3077e-01   0.0000e+00  -1.9211e+01   1.8440e+02  -8.6929e-01   0.0000e+00   0.0000e+00   3.0375e-03   1.9509e+02
         185          204   4.1900e+02   0.0000e+00   1.6102e+02  -1.9211e+01   1.9022e+02   8.7497e-01   0.0000e+00   0.0000e+00   3.0390e-03   2.0014e+02
         186          204   1.5135e+02   1.1283e+02  -1.0445e+00  -2.3405e+01   1.8842e+02  -9.2289e-01   0.0000e+00   0.0000e+00   3.0623e-03   2.0152e+02
         186          205   4.1065e+02   0.0000e+00   1.6102e+02  -2.3405e+01   1.9459e+02   9.2876e-01   0.0000e+00   0.0000e+00   3.0639e-03   2.0691e+02
         187          205   1.8609e+02  -1.8394e+01   1.4648e+02  -2.7860e+01   1.9268e+02  -9.8096e-01   0.0000e+00   0.0000e+00   2.9099e-03   2.0840e+02
         187          206   4.0231e+02   0.0000e+00   1.6102e+02  -2.7860e+01   1.9924e+02   9.8711e-01   0.0000e+00   0.0000e+00   2.9113e-03   2.1414e+02
         188          206   1.8280e+02   9.0000e+01  -6.3798e+01  -3.2598e+01   1.9721e+02  -1.0439e+00   0.0000e+00   0.0000e+00   2.5775e-03   2.1577e+02
         188          207   3.9397e+02   0.0000e+00   1.6102e+02  -3.2598e+01   2.0419e+02   1.0506e+00   0.0000e+00   0.0000e+00   2.5787e-03   2.2189e+02
         189          207   1.3014e-03   9.0000e+01   1.8491e+02  -3.7644e+01   2.0203e+02  -1.1123e+00   0.0000e+00   0.0000e+00   2.0641e-03   2.2366e+02
         189          208   3.8563e+02   0.0000e+00   1.6102e+02  -3.7644e+01   2.0947e+02   1.1197e+00   0.0000e+00   0.0000e+00   2.0649e-03   2.3019e+02
         190          208   0.0000e+00   0.0000e+00   1.3023e-03  -4.3024e+01   2.0716e+02  -1.1867e+00   0.0000e+00   0.0000e+00   1.3700e-03   2.3211e+02
         190          209   3.7729e+02   0.0000e+00   1.6102e+02  -4.3024e+01   2.1510e+02   1.1951e+00   0.0000e+00   0.0000e+00   1.3703e-03   2.3910e+02
         589          199   1.2118e+00   1.8000e+02   0.0000e+00  -1.5153e+00   1.7180e+02   6.5928e-01   0.0000e+00   0.0000e+00   4.1198e-04   1.7224e+02
         589         1143   4.6905e+02   0.0000e+00   1.6102e+02  -1.5153e+00   1.6741e+02  -6.5693e-01   0.0000e+00   0.0000e+00   4.1114e-04   1.6850e+02
         590          199   1.5759e+02   4.4419e-01   0.0000e+00  -1.5149e+00   1.7180e+02   6.6006e-01   0.0000e+00   0.0000e+00   4.5215e-04   1.7224e+02
         590         1143   4.6905e+02   0.0000e+00   1.6102e+02  -1.5149e+00   1.6741e+02  -6.5601e-01   0.0000e+00   0.0000e+00   4.5254e-04   1.6850e+02
         679          209   1.7232e+02   1.1586e+02  -1.3091e+00  -4.8770e+01   2.1264e+02  -1.2677e+00   0.0000e+00   0.0000e+00   4.9736e-04   2.4119e+02
         680          209   3.7729e+02   0.0000e+00   1.6102e+02  -4.8769e+01   2.1264e+02  -1.2668e+00   0.0000e+00   0.0000e+00   4.5208e-04   2.4119e+02
         937          912   2.1704e+02  -2.0264e+01   1.6382e+02  -5.8723e+01   1.3949e+02  -1.0450e+00   0.0000e+00   0.0000e+00   8.2611e-04   1.7659e+02
         937          913   3.5183e+02   0.0000e+00   1.6102e+02  -5.8723e+01   1.4648e+02   1.0515e+00   0.0000e+00   0.0000e+00   8.2591e-04   1.8280e+02
         938          913   2.1140e+02   9.0000e+01  -8.1556e+01  -6.3798e+01   1.4430e+02  -1.1243e+00   0.0000e+00   0.0000e+00   1.1845e-03   1.8491e+02
         938          914   3.4319e+02   0.0000e+00   1.6102e+02  -6.3798e+01   1.5182e+02   1.1324e+00   0.0000e+00   0.0000e+00   1.1847e-03   1.9159e+02
         939          914   1.3439e-03   9.0000e+01   2.1413e+02  -6.9267e+01   1.4948e+02  -1.2120e+00   0.0000e+00   0.0000e+00   1.3747e-03   1.9389e+02
         939          915   3.3455e+02   0.0000e+00   1.6102e+02  -6.9267e+01   1.5759e+02   1.2218e+00   0.0000e+00   0.0000e+00   1.3751e-03   2.0110e+02
