     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
         309   4.6070e+02   0.0000e+00   2.4576e+02   3.9637e-01   0.0000e+00  -6.1964e-02   4.0118e-01
         310   4.5236e+02   0.0000e+00   2.4576e+02   3.9873e-01   0.0000e+00  -6.1964e-02   4.0351e-01
         311   4.4402e+02   0.0000e+00   2.4576e+02   4.0126e-01   0.0000e+00  -6.1964e-02   4.0602e-01
         312   4.3568e+02   0.0000e+00   2.4576e+02   4.0399e-01   0.0000e+00  -6.1964e-02   4.0872e-01
         313   4.2734e+02   0.0000e+00   2.4576e+02   4.0692e-01   0.0000e+00  -6.1964e-02   4.1161e-01
         314   4.1900e+02   0.0000e+00   2.4576e+02   4.1007e-01   0.0000e+00  -6.1964e-02   4.1472e-01
         315   4.1065e+02   0.0000e+00   2.4576e+02   4.1344e-01   0.0000e+00  -6.1964e-02   4.1806e-01
         316   4.0231e+02   0.0000e+00   2.4576e+02   4.1705e-01   0.0000e+00  -6.1965e-02   4.2163e-01
         317   3.9397e+02   0.0000e+00   2.4576e+02   4.2092e-01   0.0000e+00  -6.1965e-02   4.2546e-01
         318   3.8563e+02   0.0000e+00   2.4576e+02   4.2507e-01   0.0000e+00  -6.1964e-02   4.2956e-01
         319   3.7729e+02   0.0000e+00   2.4576e+02   4.2950e-01   0.0000e+00  -6.1964e-02   4.3395e-01
         842   3.6046e+02   0.0000e+00   2.4576e+02   2.8377e-01   0.0000e+00  -3.1058e-02   2.8547e-01
         843   3.5183e+02   0.0000e+00   2.4576e+02   2.8816e-01   0.0000e+00  -3.1058e-02   2.8983e-01
         844   3.4319e+02   0.0000e+00   2.4576e+02   2.9283e-01   0.0000e+00  -3.1058e-02   2.9448e-01
         845   3.3455e+02   0.0000e+00   2.4576e+02   2.9782e-01   0.0000e+00  -3.1058e-02   2.9943e-01
         846   3.2591e+02   0.0000e+00   2.4576e+02   3.0313e-01   0.0000e+00  -3.1057e-02   3.0471e-01
         847   3.1727e+02   0.0000e+00   2.4576e+02   3.0880e-01   0.0000e+00  -3.1057e-02   3.1036e-01
         848   3.0864e+02   0.0000e+00   2.4576e+02   3.1486e-01   0.0000e+00  -3.1057e-02   3.1638e-01
        1074   3.6895e+02   0.0000e+00   2.4576e+02   4.3425e-01   0.0000e+00  -6.1964e-02   4.3865e-01
        1153   4.6905e+02   0.0000e+00   2.4576e+02   3.9418e-01   0.0000e+00  -6.1965e-02   3.9902e-01
        1211   3.0000e+02   0.0000e+00   2.4576e+02   3.2134e-01   0.0000e+00  -3.1056e-02   3.2283e-01
        1284   3.6910e+02   0.0000e+00   2.4576e+02   2.7965e-01   0.0000e+00  -3.1059e-02   2.8137e-01
