     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
         755   4.0779e+02   0.0000e+00  -2.1429e+01   1.8664e+06   0.0000e+00   0.0000e+00   1.8664e+06
         756   4.0779e+02   0.0000e+00  -4.2857e+01   2.0092e+06   0.0000e+00   0.0000e+00   2.0092e+06
         757   4.0779e+02   0.0000e+00  -6.4286e+01   2.0911e+06   0.0000e+00   0.0000e+00   2.0911e+06
         758   4.0779e+02   0.0000e+00  -8.5714e+01   2.1573e+06   0.0000e+00   0.0000e+00   2.1573e+06
         759   4.0779e+02   0.0000e+00  -1.0714e+02   2.1550e+06   0.0000e+00   0.0000e+00   2.1550e+06
         760   4.0779e+02   0.0000e+00  -1.2857e+02   2.1660e+06   0.0000e+00   0.0000e+00   2.1660e+06
         761   4.0779e+02   0.0000e+00  -1.5000e+02   2.1467e+06   0.0000e+00   0.0000e+00   2.1467e+06
         762   4.0779e+02   0.0000e+00  -1.7143e+02   2.1440e+06   0.0000e+00   0.0000e+00   2.1440e+06
         763   4.0779e+02   0.0000e+00  -1.9286e+02   2.1306e+06   0.0000e+00   0.0000e+00   2.1306e+06
         764   4.0779e+02   0.0000e+00  -2.1429e+02   2.1283e+06   0.0000e+00   0.0000e+00   2.1283e+06
         765   4.0779e+02   0.0000e+00  -2.3571e+02   2.1223e+06   0.0000e+00   0.0000e+00   2.1223e+06
         766   4.0779e+02   0.0000e+00  -2.5714e+02   2.1219e+06   0.0000e+00   0.0000e+00   2.1219e+06
         767   4.0779e+02   0.0000e+00  -2.7857e+02   2.1199e+06   0.0000e+00   0.0000e+00   2.1199e+06
         768   4.0779e+02   0.0000e+00  -3.0000e+02   2.1202e+06   0.0000e+00   0.0000e+00   2.1202e+06
         769   4.0779e+02   0.0000e+00  -3.2143e+02   2.1198e+06   0.0000e+00   0.0000e+00   2.1198e+06
         770   4.0779e+02   0.0000e+00  -3.4286e+02   2.1202e+06   0.0000e+00   0.0000e+00   2.1202e+06
         771   4.0779e+02   0.0000e+00  -3.6429e+02   2.1202e+06   0.0000e+00   0.0000e+00   2.1202e+06
         772   4.0779e+02   0.0000e+00  -3.8571e+02   2.1205e+06   0.0000e+00   0.0000e+00   2.1205e+06
