     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
           1   3.0721e+02   0.0000e+00  -1.0400e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           2   3.0721e+02   0.0000e+00  -1.0300e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           3   3.0721e+02   0.0000e+00  -1.0200e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           4   3.0721e+02   0.0000e+00  -1.0100e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           5   3.0721e+02   0.0000e+00  -1.0000e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           6   3.0721e+02   0.0000e+00  -9.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           7   3.0721e+02   0.0000e+00  -9.8000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           8   3.0721e+02   0.0000e+00  -9.7000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           9   3.0721e+02   0.0000e+00  -9.6000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          10   3.0721e+02   0.0000e+00  -9.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          11   3.0721e+02   0.0000e+00  -9.4000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          12   3.0721e+02   0.0000e+00  -9.3000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          13   3.0721e+02   0.0000e+00  -9.2000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          14   3.0721e+02   0.0000e+00  -9.1000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          15   3.0721e+02   0.0000e+00  -9.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          16   3.0721e+02   0.0000e+00  -8.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          17   3.0721e+02   0.0000e+00  -8.8000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          18   3.0721e+02   0.0000e+00  -8.7000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          19   3.0721e+02   0.0000e+00  -8.6000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          20   3.0721e+02   0.0000e+00  -8.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          21   3.0721e+02   0.0000e+00  -8.4000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          22   3.0721e+02   0.0000e+00  -8.3000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          23   3.0721e+02   0.0000e+00  -8.2000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          24   3.0721e+02   0.0000e+00  -8.1000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          25   3.0721e+02   0.0000e+00  -8.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          26   3.0721e+02   0.0000e+00  -7.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          27   3.0721e+02   0.0000e+00  -7.8000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          28   3.0721e+02   0.0000e+00  -7.7000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          29   3.0721e+02   0.0000e+00  -7.6000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          30   3.0721e+02   0.0000e+00  -7.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          31   3.0721e+02   0.0000e+00  -7.4000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          32   3.0721e+02   0.0000e+00  -7.3000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          33   3.0721e+02   0.0000e+00  -7.2000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          34   3.0721e+02   0.0000e+00  -7.1000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          35   3.0721e+02   0.0000e+00  -7.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          36   3.0721e+02   0.0000e+00  -6.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          37   3.0721e+02   0.0000e+00  -6.8000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          38   3.0721e+02   0.0000e+00  -6.7000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          39   3.0721e+02   0.0000e+00  -6.6000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          40   3.0721e+02   0.0000e+00  -6.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          41   3.0721e+02   0.0000e+00  -6.4000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          42   3.0721e+02   0.0000e+00  -6.3000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          43   3.0721e+02   0.0000e+00  -6.2000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          44   3.0721e+02   0.0000e+00  -6.1000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          45   3.0721e+02   0.0000e+00  -6.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          46   3.0721e+02   0.0000e+00  -5.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          47   3.0721e+02   0.0000e+00  -5.8000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          48   3.0721e+02   0.0000e+00  -5.7000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          49   3.0721e+02   0.0000e+00  -5.6000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          50   3.0721e+02   0.0000e+00  -5.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          51   3.0721e+02   0.0000e+00  -5.4000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          52   3.0721e+02   0.0000e+00  -5.3000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          53   3.0721e+02   0.0000e+00  -5.2000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          54   3.0721e+02   0.0000e+00  -5.1000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          55   3.0721e+02   0.0000e+00  -5.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          56   3.0721e+02   0.0000e+00  -4.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          57   3.0721e+02   0.0000e+00  -4.8000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          58   3.0721e+02   0.0000e+00  -4.7000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          59   3.0721e+02   0.0000e+00  -4.6000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          60   3.0721e+02   0.0000e+00  -4.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          61   3.0721e+02   0.0000e+00  -4.4000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          62   3.0721e+02   0.0000e+00  -4.3000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          63   3.0721e+02   0.0000e+00  -4.2000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          64   3.0721e+02   0.0000e+00  -4.1000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          65   3.0721e+02   0.0000e+00  -4.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          66   3.0721e+02   0.0000e+00  -3.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          67   3.0721e+02   0.0000e+00  -3.8000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          68   3.0721e+02   0.0000e+00  -3.7000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          69   3.0721e+02   0.0000e+00  -3.6000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          70   3.0721e+02   0.0000e+00  -3.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          71   3.0721e+02   0.0000e+00  -3.4000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          72   3.0721e+02   0.0000e+00  -3.3000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          73   3.0721e+02   0.0000e+00  -3.2000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          74   3.0721e+02   0.0000e+00  -3.1000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          75   3.0721e+02   0.0000e+00  -3.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          76   3.0721e+02   0.0000e+00  -2.9000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
