     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
           1   3.1337e+02   0.0000e+00  -1.0364e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           2   3.1337e+02   0.0000e+00  -1.0227e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           3   3.1337e+02   0.0000e+00  -1.0091e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           4   3.1336e+02   0.0000e+00  -9.9545e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           5   3.1336e+02   0.0000e+00  -9.8182e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           6   3.1336e+02   0.0000e+00  -9.6818e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           7   3.1336e+02   0.0000e+00  -9.5455e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           8   3.1336e+02   0.0000e+00  -9.4091e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
           9   3.1336e+02   0.0000e+00  -9.2727e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          10   3.1336e+02   0.0000e+00  -9.1364e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          11   3.1336e+02   0.0000e+00  -9.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          12   3.1336e+02   0.0000e+00  -8.8636e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          13   3.1336e+02   0.0000e+00  -8.7273e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          14   3.1336e+02   0.0000e+00  -8.5909e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          15   3.1336e+02   0.0000e+00  -8.4545e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          16   3.1336e+02   0.0000e+00  -8.3182e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          17   3.1336e+02   0.0000e+00  -8.1818e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          18   3.1336e+02   0.0000e+00  -8.0455e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          19   3.1336e+02   0.0000e+00  -7.9091e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          20   3.1336e+02   0.0000e+00  -7.7727e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          21   3.1336e+02   0.0000e+00  -7.6364e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          22   3.1336e+02   0.0000e+00  -7.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          23   3.1336e+02   0.0000e+00  -7.3636e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          24   3.1336e+02   0.0000e+00  -7.2273e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          25   3.1336e+02   0.0000e+00  -7.0909e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          26   3.1336e+02   0.0000e+00  -6.9545e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          27   3.1335e+02   0.0000e+00  -6.8182e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          28   3.1335e+02   0.0000e+00  -6.6818e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          29   3.1335e+02   0.0000e+00  -6.5455e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          30   3.1335e+02   0.0000e+00  -6.4091e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          31   3.1335e+02   0.0000e+00  -6.2727e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          32   3.1335e+02   0.0000e+00  -6.1364e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          33   3.1335e+02   0.0000e+00  -6.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          34   3.1335e+02   0.0000e+00  -5.8636e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          35   3.1335e+02   0.0000e+00  -5.7273e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          36   3.1335e+02   0.0000e+00  -5.5909e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          37   3.1335e+02   0.0000e+00  -5.4545e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          38   3.1335e+02   0.0000e+00  -5.3182e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          39   3.1335e+02   0.0000e+00  -5.1818e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          40   3.1335e+02   0.0000e+00  -5.0455e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          41   3.1335e+02   0.0000e+00  -4.9091e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          42   3.1335e+02   0.0000e+00  -4.7727e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          43   3.1335e+02   0.0000e+00  -4.6364e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          44   3.1335e+02   0.0000e+00  -4.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          45   3.1335e+02   0.0000e+00  -4.3636e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          46   3.1335e+02   0.0000e+00  -4.2273e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          47   3.1335e+02   0.0000e+00  -4.0909e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          48   3.1335e+02   0.0000e+00  -3.9545e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          49   3.1335e+02   0.0000e+00  -3.8182e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          50   3.1335e+02   0.0000e+00  -3.6818e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          51   3.1334e+02   0.0000e+00  -3.5455e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          52   3.1334e+02   0.0000e+00  -3.4091e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          53   3.1334e+02   0.0000e+00  -3.2727e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          54   3.1334e+02   0.0000e+00  -3.1364e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          55   3.1334e+02   0.0000e+00  -3.0000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          56   3.1334e+02   0.0000e+00  -2.8636e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          57   3.1334e+02   0.0000e+00  -2.7273e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          58   3.1334e+02   0.0000e+00  -2.5909e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          59   3.1334e+02   0.0000e+00  -2.4545e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          60   3.1334e+02   0.0000e+00  -2.3182e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          61   3.1334e+02   0.0000e+00  -2.1818e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          62   3.1334e+02   0.0000e+00  -2.0455e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          63   3.1334e+02   0.0000e+00  -1.9091e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          64   3.1334e+02   0.0000e+00  -1.7727e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          65   3.1334e+02   0.0000e+00  -1.6364e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          66   3.1334e+02   0.0000e+00  -1.5000e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          67   3.1334e+02   0.0000e+00  -1.3636e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          68   3.1334e+02   0.0000e+00  -1.2273e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          69   3.1334e+02   0.0000e+00  -1.0909e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          70   3.1334e+02   0.0000e+00  -9.5455e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          71   3.1334e+02   0.0000e+00  -8.1818e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          72   3.1334e+02   0.0000e+00  -6.8182e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          73   3.1334e+02   0.0000e+00  -5.4545e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          74   3.1333e+02   0.0000e+00  -4.0909e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          75   3.1333e+02   0.0000e+00  -2.7273e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          76   3.1333e+02   0.0000e+00  -1.3636e+01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          77   3.2673e+02   0.0000e+00  -1.0364e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          78   3.2673e+02   0.0000e+00  -1.0227e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          79   3.2673e+02   0.0000e+00  -1.0091e+03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          80   3.2673e+02   0.0000e+00  -9.9545e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          81   3.2673e+02   0.0000e+00  -9.8182e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          82   3.2673e+02   0.0000e+00  -9.6818e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          83   3.2673e+02   0.0000e+00  -9.5455e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          84   3.2673e+02   0.0000e+00  -9.4091e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          85   3.2673e+02   0.0000e+00  -9.2727e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
          86   3.2672e+02   0.0000e+00  -9.1364e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
